Year,Policy,$ Billions
2033,Energy Innovation and Carbon Dividend Act (Deutch et al.),353.7285
2034,Energy Innovation and Carbon Dividend Act (Deutch et al.),365.9544
2035,Energy Innovation and Carbon Dividend Act (Deutch et al.),377.9732
2020,Healthy Climate and Family Security Act (Van Hollen-Beyer),288.278
2021,Healthy Climate and Family Security Act (Van Hollen-Beyer),284.3904
2022,Healthy Climate and Family Security Act (Van Hollen-Beyer),279.7305
2023,Healthy Climate and Family Security Act (Van Hollen-Beyer),274.2428
2024,Healthy Climate and Family Security Act (Van Hollen-Beyer),267.8685
2025,Healthy Climate and Family Security Act (Van Hollen-Beyer),260.5454
2026,Healthy Climate and Family Security Act (Van Hollen-Beyer),258.4611
2027,Healthy Climate and Family Security Act (Van Hollen-Beyer),255.7931
2028,Healthy Climate and Family Security Act (Van Hollen-Beyer),252.4981
2029,Healthy Climate and Family Security Act (Van Hollen-Beyer),248.5303
2030,Healthy Climate and Family Security Act (Van Hollen-Beyer),243.8411
2031,Healthy Climate and Family Security Act (Van Hollen-Beyer),243.4509
2032,Healthy Climate and Family Security Act (Van Hollen-Beyer),242.6394
2033,Healthy Climate and Family Security Act (Van Hollen-Beyer),241.3735
2034,Healthy Climate and Family Security Act (Van Hollen-Beyer),239.618
2035,Healthy Climate and Family Security Act (Van Hollen-Beyer),237.3359
2020,MARKET CHOICE Act (Fitzpatrick),
2021,MARKET CHOICE Act (Fitzpatrick),170.603
2022,MARKET CHOICE Act (Fitzpatrick),169.4211
2023,MARKET CHOICE Act (Fitzpatrick),167.6945
2024,MARKET CHOICE Act (Fitzpatrick),165.3717
2025,MARKET CHOICE Act (Fitzpatrick),162.3974
2026,MARKET CHOICE Act (Fitzpatrick),162.6473
2027,MARKET CHOICE Act (Fitzpatrick),162.5161
2028,MARKET CHOICE Act (Fitzpatrick),161.9652
2029,MARKET CHOICE Act (Fitzpatrick),160.9529
2030,MARKET CHOICE Act (Fitzpatrick),159.4345
2031,MARKET CHOICE Act (Fitzpatrick),160.71
2032,MARKET CHOICE Act (Fitzpatrick),161.7144
2033,MARKET CHOICE Act (Fitzpatrick),162.4175
2034,MARKET CHOICE Act (Fitzpatrick),162.7867
2035,MARKET CHOICE Act (Fitzpatrick),162.7867
2020,Raise Wages Cut Carbon Act (Lipinski),181.4368
2021,Raise Wages Cut Carbon Act (Lipinski),179.802
2022,Raise Wages Cut Carbon Act (Lipinski),180.3396
2023,Raise Wages Cut Carbon Act (Lipinski),180.74
2024,Raise Wages Cut Carbon Act (Lipinski),181.4536
2025,Raise Wages Cut Carbon Act (Lipinski),182.4802
2026,Raise Wages Cut Carbon Act (Lipinski),183.6742
2027,Raise Wages Cut Carbon Act (Lipinski),184.8339
2028,Raise Wages Cut Carbon Act (Lipinski),186.7385
2029,Raise Wages Cut Carbon Act (Lipinski),188.8048
2030,Raise Wages Cut Carbon Act (Lipinski),190.6512
2031,Raise Wages Cut Carbon Act (Lipinski),192.5714
2032,Raise Wages Cut Carbon Act (Lipinski),194.4076
2033,Raise Wages Cut Carbon Act (Lipinski),196.8492
2034,Raise Wages Cut Carbon Act (Lipinski),199.2935
2035,Raise Wages Cut Carbon Act (Lipinski),202.0754
2020,Stemming Warming and Augmenting Pay Act (Rooney),
2021,Stemming Warming and Augmenting Pay Act (Rooney),127.1304
2022,Stemming Warming and Augmenting Pay Act (Rooney),130.2432
2023,Stemming Warming and Augmenting Pay Act (Rooney),133.3061
2024,Stemming Warming and Augmenting Pay Act (Rooney),136.6505
2025,Stemming Warming and Augmenting Pay Act (Rooney),140.2897
2026,Stemming Warming and Augmenting Pay Act (Rooney),144.1235
2027,Stemming Warming and Augmenting Pay Act (Rooney),147.9979
2028,Stemming Warming and Augmenting Pay Act (Rooney),152.5476
2029,Stemming Warming and Augmenting Pay Act (Rooney),157.3229
2030,Stemming Warming and Augmenting Pay Act (Rooney),162.0077
2031,Stemming Warming and Augmenting Pay Act (Rooney),166.8458
2032,Stemming Warming and Augmenting Pay Act (Rooney),171.7018
2033,Stemming Warming and Augmenting Pay Act (Rooney),177.1922
2034,Stemming Warming and Augmenting Pay Act (Rooney),182.7952
2035,Stemming Warming and Augmenting Pay Act (Rooney),188.8246
