Year,Policy,Billion Metric Tons
2032,Consumers REBATE Act (McNerney),2.57
2033,Consumers REBATE Act (McNerney),2.48
2034,Consumers REBATE Act (McNerney),2.4
2035,Consumers REBATE Act (McNerney),2.33
2020,Energy Innovation and Carbon Dividend Act (Deutch et al.),4.74
2021,Energy Innovation and Carbon Dividend Act (Deutch et al.),4.34
2022,Energy Innovation and Carbon Dividend Act (Deutch et al.),4.05
2023,Energy Innovation and Carbon Dividend Act (Deutch et al.),3.8
2024,Energy Innovation and Carbon Dividend Act (Deutch et al.),3.58
2025,Energy Innovation and Carbon Dividend Act (Deutch et al.),3.4
2026,Energy Innovation and Carbon Dividend Act (Deutch et al.),3.23
2027,Energy Innovation and Carbon Dividend Act (Deutch et al.),3.08
2028,Energy Innovation and Carbon Dividend Act (Deutch et al.),2.95
2029,Energy Innovation and Carbon Dividend Act (Deutch et al.),2.83
2030,Energy Innovation and Carbon Dividend Act (Deutch et al.),2.72
2031,Energy Innovation and Carbon Dividend Act (Deutch et al.),2.62
2032,Energy Innovation and Carbon Dividend Act (Deutch et al.),2.52
2033,Energy Innovation and Carbon Dividend Act (Deutch et al.),2.44
2034,Energy Innovation and Carbon Dividend Act (Deutch et al.),2.36
2035,Energy Innovation and Carbon Dividend Act (Deutch et al.),2.29
2020,Healthy Climate and Family Security Act (Van Hollen-Beyer),3.97
2021,Healthy Climate and Family Security Act (Van Hollen-Beyer),3.81
2022,Healthy Climate and Family Security Act (Van Hollen-Beyer),3.7
2023,Healthy Climate and Family Security Act (Van Hollen-Beyer),3.6
2024,Healthy Climate and Family Security Act (Van Hollen-Beyer),3.5
2025,Healthy Climate and Family Security Act (Van Hollen-Beyer),3.42
2026,Healthy Climate and Family Security Act (Van Hollen-Beyer),3.33
2027,Healthy Climate and Family Security Act (Van Hollen-Beyer),3.25
2028,Healthy Climate and Family Security Act (Van Hollen-Beyer),3.19
2029,Healthy Climate and Family Security Act (Van Hollen-Beyer),3.12
2030,Healthy Climate and Family Security Act (Van Hollen-Beyer),3.06
2031,Healthy Climate and Family Security Act (Van Hollen-Beyer),3.0
2032,Healthy Climate and Family Security Act (Van Hollen-Beyer),2.93
2033,Healthy Climate and Family Security Act (Van Hollen-Beyer),2.88
2034,Healthy Climate and Family Security Act (Van Hollen-Beyer),2.83
2035,Healthy Climate and Family Security Act (Van Hollen-Beyer),2.78
2020,MARKET CHOICE Act (Fitzpatrick),5.12
2021,MARKET CHOICE Act (Fitzpatrick),4.26
2022,MARKET CHOICE Act (Fitzpatrick),4.15
2023,MARKET CHOICE Act (Fitzpatrick),4.04
2024,MARKET CHOICE Act (Fitzpatrick),3.94
2025,MARKET CHOICE Act (Fitzpatrick),3.84
2026,MARKET CHOICE Act (Fitzpatrick),3.76
2027,MARKET CHOICE Act (Fitzpatrick),3.67
2028,MARKET CHOICE Act (Fitzpatrick),3.6
2029,MARKET CHOICE Act (Fitzpatrick),3.53
2030,MARKET CHOICE Act (Fitzpatrick),3.45
2031,MARKET CHOICE Act (Fitzpatrick),3.38
2032,MARKET CHOICE Act (Fitzpatrick),3.31
2033,MARKET CHOICE Act (Fitzpatrick),3.25
2034,MARKET CHOICE Act (Fitzpatrick),3.19
2035,MARKET CHOICE Act (Fitzpatrick),3.13
2020,Raise Wages Cut Carbon Act (Lipinski),4.12
2021,Raise Wages Cut Carbon Act (Lipinski),3.99
2022,Raise Wages Cut Carbon Act (Lipinski),3.9
2023,Raise Wages Cut Carbon Act (Lipinski),3.81
2024,Raise Wages Cut Carbon Act (Lipinski),3.74
2025,Raise Wages Cut Carbon Act (Lipinski),3.67
2026,Raise Wages Cut Carbon Act (Lipinski),3.6
2027,Raise Wages Cut Carbon Act (Lipinski),3.53
2028,Raise Wages Cut Carbon Act (Lipinski),3.48
2029,Raise Wages Cut Carbon Act (Lipinski),3.44
2030,Raise Wages Cut Carbon Act (Lipinski),3.38
2031,Raise Wages Cut Carbon Act (Lipinski),3.34
2032,Raise Wages Cut Carbon Act (Lipinski),3.29
2033,Raise Wages Cut Carbon Act (Lipinski),3.25
2034,Raise Wages Cut Carbon Act (Lipinski),3.21
2035,Raise Wages Cut Carbon Act (Lipinski),3.17
2020,Stemming Warming and Augmenting Pay Act (Rooney),5.12
2021,Stemming Warming and Augmenting Pay Act (Rooney),4.32
2022,Stemming Warming and Augmenting Pay Act (Rooney),4.22
2023,Stemming Warming and Augmenting Pay Act (Rooney),4.11
2024,Stemming Warming and Augmenting Pay Act (Rooney),4.01
2025,Stemming Warming and Augmenting Pay Act (Rooney),3.92
2026,Stemming Warming and Augmenting Pay Act (Rooney),3.84
2027,Stemming Warming and Augmenting Pay Act (Rooney),3.75
2028,Stemming Warming and Augmenting Pay Act (Rooney),3.69
2029,Stemming Warming and Augmenting Pay Act (Rooney),3.62
2030,Stemming Warming and Augmenting Pay Act (Rooney),3.55
2031,Stemming Warming and Augmenting Pay Act (Rooney),3.48
2032,Stemming Warming and Augmenting Pay Act (Rooney),3.41
2033,Stemming Warming and Augmenting Pay Act (Rooney),3.35
2034,Stemming Warming and Augmenting Pay Act (Rooney),3.3
2035,Stemming Warming and Augmenting Pay Act (Rooney),3.24
